N,mean_J,std_J,stderr,var_of_mean,cov
50,9.004530844444444,0.3639969976290246,0.05147694907100539,0.0026498762856588826,0.040423760428740275
100,8.952540167901235,0.359913775233794,0.0359913775233794,0.0012953792560304197,0.04020241947913755
200,8.965349155555554,0.3681385448799131,0.02603132615007347,0.000677629941131499,0.04106237676775688
