n,nels,J,J_analytical,error_pct
5,125,1.35e-11,1.3499999999999999e-11,1.1967312102908388e-14
8,512,1.3499999999999997e-11,1.3499999999999999e-11,1.1967312102908388e-14
16,4096,1.3499999999999997e-11,1.3499999999999999e-11,1.1967312102908388e-14
32,32768,1.3499519999999998e-11,1.3499999999999999e-11,0.0035555555555616437
